Id,Site,Language,Gender,Age
1,bbc,en,1,76
2,qq,en,0,26
3,bbc,en,0,26
4,qq,en,0,20
5,bbc,en,0,56
6,qq,en,0,26
7,bbc,en,1,26
8,qq,en,0,26
9,bbc,en,0,20
10,qq,en,0,20
11,bbc,en,0,20
12,qq,en,1,20
13,bbc,en,0,26
14,qq,en,1,76
15,bbc,en,0,76
16,qq,en,0,20
17,bbc,en,0,26
18,bbc,zh,1,26
19,qq,en,1,20
20,bbc,en,0,26
21,qq,en,0,26
22,bbc,en,0,46
23,qq,en,0,26
24,bbc,en,0,46
25,qq,en,0,26
26,bbc,en,0,20
27,qq,en,0,20
28,bbc,en,0,20
29,qq,en,0,20
30,bbc,en,0,20
31,qq,en,0,26
32,bbc,en,0,20
33,qq,en,0,26
34,bbc,en,1,20
35,qq,en,0,26
36,bbc,en,0,26
37,qq,en,0,26
38,bbc,en,0,26
39,qq,en,0,26
40,bbc,en,1,20
41,qq,en,0,26
42,bbc,en,1,20
43,qq,en,0,20
44,bbc,en,0,20
45,qq,en,1,20
46,bbc,en,0,20
47,qq,en,1,20
48,bbc,en,1,26
49,qq,en,0,36
50,bbc,en,0,26
51,qq,en,0,26
52,qq,zh,0,26
53,bbc,en,0,20
54,qq,en,0,20
55,bbc,en,0,20
56,qq,en,0,20
57,bbc,en,0,20
58,qq,en,0,26
59,bbc,en,0,26
60,qq,en,0,20
61,bbc,en,0,20
62,qq,en,0,20
63,bbc,en,0,26
64,qq,en,0,26
65,bbc,en,0,20
66,qq,en,1,26
67,bbc,en,0,36
68,qq,en,0,26
69,bbc,en,0,26
70,qq,en,0,20
71,bbc,en,0,26
72,qq,en,0,26
73,bbc,en,0,20
74,qq,en,0,20
75,bbc,en,0,20
76,qq,en,0,26
77,bbc,en,0,26
78,qq,en,0,26
79,bbc,en,0,20
80,qq,en,1,26
81,bbc,en,0,26
82,qq,en,0,20
